"Gene.symbol","logFC","P.Value","adj.P.Val"
"Cyp2b10",-4.34,3.62e-11,8.21e-07
"Cyp7a1",-2.52,5.47e-10,3.03e-06
"Cd36",-2.2,8.21e-10,3.03e-06
"Lgals1",-2.42,9.36e-10,3.03e-06
"Thrsp",-2.5,3.06e-09,8.69e-06
"Aldh1a7",-1.13,2.2e-08,5e-05
"Pklr",-0.689,4.98e-08,0.000103
"Cidec",-1.08,5.59e-08,0.000106
"Prnp",-0.934,7.76e-08,0.000135
"Slco1a4",-1.54,1.43e-07,0.000202
"Oat",-0.684,1.54e-07,0.000206
"Dhrs7",-0.592,1.89e-07,0.000238
"Arpp19",-0.728,2.17e-07,0.000259
"G3bp2",-0.717,2.52e-07,0.000285
"Srsf7",-0.873,2.82e-07,0.000305
"Slc2a2",-0.729,3.15e-07,0.000319
"Inhbe",-0.813,3.37e-07,0.000319
"Treh",-0.904,3.43e-07,0.000319
"Slc13a3",-0.713,3.54e-07,0.000319
"Csrp3",-1.09,3.82e-07,0.000319
"Gstm2",-1.49,3.93e-07,0.000319
"Lhpp",-1.11,3.94e-07,0.000319
"Tmem176a",-0.853,4.52e-07,0.000354
"Apoa4",-1.49,4.9e-07,0.000365
"Upp2",-0.958,4.99e-07,0.000365
"Anxa5",-1.59,5.55e-07,0.000393
"Sult1e1",-2.68,7.39e-07,0.000479
"Pigp",-0.704,8.05e-07,0.000507
"Rhbg",-1.09,8.62e-07,0.000529
"Tgfbr2",-1.12,9.03e-07,0.000539
"Mt1",-1.94,1.12e-06,0.000633
"Gm12854///S100a11-ps///S100a11",-1.02,1.24e-06,0.000687
"Wdfy2",0.554,1.28e-06,0.000689
"Naa20",-0.57,1.5e-06,0.000765
"Hexb",-1.19,1.51e-06,0.000765
"S100a10",-1.14,1.52e-06,0.000765
"Aqp8",-1.07,1.56e-06,0.000767
"Gal3st1",-0.554,1.59e-06,0.000767
"Tkfc",-0.749,1.71e-06,0.000797
"Gpcpd1",-1.1,1.72e-06,0.000797
"2010003K11Rik",-0.718,1.77e-06,0.000805
"Tceal8",-1,1.84e-06,0.000807
"Gstm3",-2.21,1.89e-06,0.000807
"Spast",0.652,1.92e-06,0.000807
"Lad1",-0.877,2.06e-06,0.00083
"Nr0b2",1.11,2.07e-06,0.00083
"Ing2",0.504,2.18e-06,0.00083
"Adam10",-0.534,2.19e-06,0.00083
"Entpd5",-0.74,2.2e-06,0.00083
"Cryl1",0.602,2.38e-06,0.000884
"Fitm1",-0.819,2.48e-06,0.000885
"Eif4e3",-0.646,2.5e-06,0.000885
"Cldn2",-0.796,2.68e-06,0.000935
"Fabp4",-1.35,2.85e-06,0.000978
"Myo5b",-0.538,2.92e-06,0.00099
"Gm3776///Gsta2///Gsta1",-0.838,3.11e-06,0.00103
"Tmx2",-0.583,3.12e-06,0.00103
"Elovl6",-0.841,3.19e-06,0.00103
"Papss2",-0.891,3.23e-06,0.00103
"Gpx7",-0.58,3.44e-06,0.00108
"Sbk1",-1.28,3.57e-06,0.00108
"Pparg",-0.553,3.58e-06,0.00108
"Cyp8b1",-1.12,3.93e-06,0.00116
"Ppif",-0.654,3.95e-06,0.00116
"Raet1e///Raet1d///Raet1c///Raet1b///Raet1a",-0.652,4.17e-06,0.00121
"Slc41a3",-0.446,4.28e-06,0.00123
"Sdc1",-0.692,4.43e-06,0.00126
"Orm3",-1.18,4.54e-06,0.00127
"Dclre1a",-1.26,4.63e-06,0.00128
"Rora",0.548,4.75e-06,0.00129
"Fam126a",-1.1,4.86e-06,0.0013
"Lman1",-0.365,4.94e-06,0.0013
"Tmem230",-0.618,5.27e-06,0.00138
"Ermp1",-0.871,5.51e-06,0.00142
"Slc47a1",-0.745,5.7e-06,0.00144
"Snx10",-0.597,5.73e-06,0.00144
"Nox4",0.633,6.22e-06,0.00153
"Siae",-0.688,6.32e-06,0.00154
"Cyp3a11",-0.368,6.61e-06,0.0016
"Hsd11b1",0.817,6.74e-06,0.0016
"Lpgat1",-0.623,6.77e-06,0.0016
"Pdk2",-0.637,6.85e-06,0.0016
"Hnf4a",0.527,6.93e-06,0.0016
"Tmprss2",-0.767,7.4e-06,0.0017
"Rnase4",0.48,7.73e-06,0.00174
"Mcfd2",-0.4,7.73e-06,0.00174
"Lpcat3",-0.548,8.05e-06,0.00177
"4931406C07Rik",-0.929,8.1e-06,0.00177
"Klkb1",0.453,8.4e-06,0.00182
"Gm7931///Gm9525///Gm6750///Hmgn2",-1.14,8.65e-06,0.00185
"Elovl5",-0.906,8.88e-06,0.00188
"Spns2",-0.807,8.97e-06,0.00188
"Map1lc3b",-0.57,9.33e-06,0.00194
"C1qbp",-0.632,9.95e-06,0.00199
"Abcg8",0.525,9.96e-06,0.00199
"Slc23a1",-0.755,9.98e-06,0.00199
"Nfkbia",0.632,9.98e-06,0.00199
"Cyp3a41b///Cyp3a41a",-0.797,1.03e-05,0.00202
"Pigq",-0.399,1.05e-05,0.00206
"Msl2",0.399,1.07e-05,0.00208
"Prdx3",-0.57,1.13e-05,0.00217
"Scd1",-1.41,1.14e-05,0.00218
"Mtor",-0.425,1.17e-05,0.00219
"Mt2",-1.75,1.18e-05,0.00219
"Colgalt1",-0.487,1.23e-05,0.00226
"Hfe",-0.55,1.26e-05,0.00231
"Pla2g15",-0.585,1.28e-05,0.00232
"Aldh1a1",-0.539,1.32e-05,0.00238
"Eif5",0.584,1.33e-05,0.00238
"Nudcd2",-0.51,1.34e-05,0.00238
"Mpeg1",-0.897,1.35e-05,0.00238
"Ubap1",0.357,1.4e-05,0.00245
"Rnf145",-0.568,1.45e-05,0.00246
"Mfsd1",-0.389,1.47e-05,0.00246
"Acp2",-0.56,1.47e-05,0.00246
"Pcmtd1",0.372,1.48e-05,0.00246
"Wwc1",0.556,1.51e-05,0.00246
"Mafg",0.523,1.54e-05,0.00246
"Eef1akmt1",-0.47,1.56e-05,0.00246
"Serpinb1a",-1.33,1.56e-05,0.00246
"Pnpo",-0.462,1.57e-05,0.00246
"Sepw1",-0.544,1.58e-05,0.00246
"Ier2",0.593,1.59e-05,0.00246
"Slc22a3",-0.715,1.59e-05,0.00246
"Hibch",-0.687,1.6e-05,0.00246
"Fdx1",-0.529,1.6e-05,0.00246
"Glud1",0.407,1.62e-05,0.00246
"Nfs1",-0.348,1.62e-05,0.00246
"Ubd",-0.893,1.63e-05,0.00246
"Nectin2",-0.391,1.63e-05,0.00246
"Tmem140",-0.64,1.64e-05,0.00246
"Yaf2",0.409,1.65e-05,0.00247
"Gpt2",-1.13,1.66e-05,0.00247
"Plin3",-0.607,1.69e-05,0.00249
"Frmd4b",-0.681,1.73e-05,0.00251
"Gclc",0.883,1.73e-05,0.00251
"Tmem141",0.825,1.74e-05,0.00251
"Stard5",-0.45,1.79e-05,0.00257
"Psmd8",-0.395,1.81e-05,0.00257
"Mfn2",-0.615,1.82e-05,0.00257
"Car2",-0.506,1.83e-05,0.00257
"Abhd4",-0.47,1.84e-05,0.00258
"Icam1",-0.535,1.87e-05,0.0026
"Smim8",-0.627,1.94e-05,0.00269
"Hnrnpr",-0.438,2.02e-05,0.00277
"Zadh2",-0.518,2.06e-05,0.0028
"Orm2",-2.31,2.06e-05,0.0028
"Pgap2",-0.866,2.21e-05,0.00297
"Aprt",-0.724,2.23e-05,0.00297
"Lcn2",-2.49,2.24e-05,0.00297
"1810055G02Rik",-0.745,2.29e-05,0.00301
"Rpa1",-0.458,2.33e-05,0.00305
"Minpp1",-0.568,2.34e-05,0.00305
"Spint1",0.702,2.36e-05,0.00305
"Asns",-1.37,2.38e-05,0.00305
"Mat2a",-0.608,2.39e-05,0.00305
"Tnfrsf19",-0.669,2.41e-05,0.00305
"Trim31",0.743,2.44e-05,0.00306
"Nadk",-0.471,2.53e-05,0.00316
"Ifih1",-0.489,2.56e-05,0.00317
"Fam213a",-0.587,2.61e-05,0.00322
"Gstt3",-1.24,2.68e-05,0.00326
"Stub1",0.436,2.72e-05,0.0033
"Cyp2c55",-1.79,2.8e-05,0.00338
"Gch1",-1.05,2.85e-05,0.00342
"Derl1",-0.855,2.88e-05,0.00344
"Ybx3",-0.615,2.95e-05,0.00349
"Grasp",0.386,2.95e-05,0.00349
"G3bp1",-0.434,3.04e-05,0.00358
"Idh2",-0.654,3.08e-05,0.00361
"Adrm1",0.322,3.11e-05,0.00361
"Fkbp1a",-0.48,3.16e-05,0.00364
"Cox17",-0.365,3.26e-05,0.00374
"Lgals3bp",-0.557,3.32e-05,0.00375
"Acacb",-0.64,3.33e-05,0.00375
"Rtn4",-0.665,3.34e-05,0.00375
"Hc",0.517,3.44e-05,0.00383
"Masp1",0.407,3.45e-05,0.00383
"Sec24c",-0.392,3.6e-05,0.00395
"Apool",-0.467,3.6e-05,0.00395
"Slc22a30///Slc22a29",-0.639,3.66e-05,0.00398
"Nagk",-0.571,3.68e-05,0.00398
"Twsg1",0.399,3.7e-05,0.00398
"Atg5",-0.522,3.7e-05,0.00398
"Ctbs",-0.647,3.76e-05,0.00403
"Mia3",0.379,3.88e-05,0.00411
"Apom",0.387,3.92e-05,0.00414
"Smc5",0.729,3.94e-05,0.00414
"Mttp",-0.544,3.96e-05,0.00414
"P4hb",-0.326,4.03e-05,0.0042
"Adssl1",-0.719,4.12e-05,0.00424
"Slc22a26",-0.489,4.16e-05,0.00424
"Por",-0.463,4.17e-05,0.00424
"Spryd4",-0.386,4.17e-05,0.00424
"Timm8a1",-0.431,4.3e-05,0.00434
"Anp32a",-0.708,4.32e-05,0.00434
"Klhl5",-0.889,4.34e-05,0.00434
"Cstf2t",-0.531,4.34e-05,0.00434
"Pdk1",-0.969,4.41e-05,0.00437
"Litaf",-0.434,4.41e-05,0.00437
"Tmem209",-0.403,4.43e-05,0.00437
"Slc25a45",-0.435,4.44e-05,0.00437
"Gm12816///Rpl3",-0.387,4.51e-05,0.00441
"Sulf2",-0.647,4.57e-05,0.00443
"Cyhr1",0.639,4.67e-05,0.00446
"Ppp1cc",-0.502,4.72e-05,0.00446
"Rufy3",0.344,4.76e-05,0.00446
"Timm17a",-0.462,4.76e-05,0.00446
"Slco1a1",1.33,4.77e-05,0.00446
"Cep350",0.442,4.77e-05,0.00446
"Fth1",-0.301,4.78e-05,0.00446
"Nfat5",0.423,4.79e-05,0.00446
"Fkbp11",-0.446,5.1e-05,0.00468
"Cpt1a",-0.505,5.11e-05,0.00468
"Nudt4",-0.798,5.14e-05,0.00468
"Atad3a",-0.717,5.14e-05,0.00468
"Snx9",-0.373,5.16e-05,0.00468
"Tgm2",-0.454,5.26e-05,0.00473
"Ces2d-ps///Ces2c",-0.972,5.26e-05,0.00473
"Gpx4",-0.57,5.3e-05,0.00473
"Rdh16",-0.482,5.32e-05,0.00474
"Stt3a",-0.477,5.4e-05,0.00478
"Sertad2",0.421,5.42e-05,0.00478
"Rhod",0.464,5.61e-05,0.00494
"Tmem185b",-0.407,5.68e-05,0.00495
"Dmd",-0.606,5.71e-05,0.00495
"Lancl2",-0.438,5.71e-05,0.00495
"Hdgf",0.349,5.72e-05,0.00495
"Gm8069///Tomm5",-0.544,5.76e-05,0.00495
"Skiv2l",0.314,5.77e-05,0.00495
"Nrbp2",0.546,5.81e-05,0.00495
"Tmem129",-0.48,5.89e-05,0.005
"Ces2a",-0.755,6.04e-05,0.00509
"Bri3",-0.407,6.05e-05,0.00509
"Rhou",-0.479,6.14e-05,0.00514
"Minos1",-0.4,6.19e-05,0.00516
"Usp50///Polr2l",-0.355,6.22e-05,0.00517
"Cyp2d26",0.462,6.27e-05,0.00518
"Lman2",-0.345,6.28e-05,0.00518
"Hn1",0.53,6.35e-05,0.00518
"Krcc1",-0.492,6.35e-05,0.00518
"Asah2",-0.428,6.42e-05,0.00522
"Nedd4",-0.379,6.47e-05,0.00525
"Usp18",-0.914,6.51e-05,0.00525
"Ces2g",-0.559,6.59e-05,0.00528
"Hsbp1",-0.362,6.65e-05,0.00529
"Celsr2",0.32,6.67e-05,0.00529
"Cbs",0.486,6.72e-05,0.00531
"Ptms",0.314,6.78e-05,0.00533
"Rarb",-0.47,6.82e-05,0.00533
"Srsf3",-0.702,6.88e-05,0.00535
"Eid1",-0.445,6.89e-05,0.00535
"Tmem261",-0.363,6.98e-05,0.0054
"Aco2",-0.494,7.02e-05,0.00541
"Nhp2",-0.655,7.08e-05,0.00544
"Nutf2-ps1///Gm9386///Nutf2-ps2///Nutf2",-0.421,7.09e-05,0.00544
"Pgd",-0.709,7.13e-05,0.00545
"Usp14",-0.318,7.23e-05,0.00549
"Plod1",-0.554,7.23e-05,0.00549
"Herpud1",0.547,7.31e-05,0.0055
"Txnl1",-0.444,7.35e-05,0.0055
"Cxadr",-0.448,7.37e-05,0.0055
"Mettl23",-0.371,7.37e-05,0.0055
"Hamp2",0.947,7.4e-05,0.0055
"Cars",0.284,7.44e-05,0.00552
"Mif",-0.323,7.48e-05,0.00553
"Zfpm1",0.545,7.56e-05,0.00557
"Ctsb",-0.323,7.69e-05,0.00563
"Lpl",-0.741,7.84e-05,0.0057
"Psmg2",-0.447,7.89e-05,0.00571
"Avpr1a",0.759,7.93e-05,0.00571
"Arf4",-0.431,7.97e-05,0.00573
"Iars",-0.449,8.07e-05,0.00578
"Pbld2",0.759,8.12e-05,0.00579
"Dram2",-0.638,8.26e-05,0.00583
"Gstp1",0.723,8.29e-05,0.00583
"Snap47",-0.415,8.33e-05,0.00583
"Aifm1",-0.4,8.34e-05,0.00583
"Drd4",0.476,8.34e-05,0.00583
"Acad10",-0.852,8.56e-05,0.00592
"Ctps2",-0.597,8.58e-05,0.00592
"Nrg4",-1.02,8.66e-05,0.00595
"Ablim1",-0.599,8.69e-05,0.00595
"Neat1",-1.38,8.73e-05,0.00595
"Hist1h4m///Hist1h4b///Hist1h4a///Hist4h4///Hist1h4n///Hist1h4k///Hist1h4j///Hist1h4i///Hist1h4f///Hist1h4d///Hist1h4c///Hist2h4///Hist1h4h",-0.319,8.78e-05,0.00596
"Ghitm",-0.332,8.93e-05,0.00605
"Stra13",-0.333,9e-05,0.00608
"Cgref1",-0.547,9.13e-05,0.00615
"Slc20a2",-0.553,9.43e-05,0.00633
"Jkamp",-0.363,9.52e-05,0.00635
"Wwtr1",-0.814,9.73e-05,0.00647
"Antxr2",-0.648,9.78e-05,0.00649
"Inadl",-0.496,9.9e-05,0.00653
"Snrpa1",-0.607,9.98e-05,0.00657
"March6",-0.375,0.000101,0.00657
"Slc25a47",-0.532,0.000101,0.00657
"Mug2///Mug1///Mug-ps1",0.536,0.000101,0.00657
"Spin1",0.429,0.000102,0.00657
"Hexim1",0.529,0.000102,0.00657
"Gm10224///Gm4581///Rpl15",-0.813,0.000102,0.00657
"Tmem176b",-0.619,0.000102,0.00657
"Metap2",-0.422,0.000103,0.00657
"Hpn",0.341,0.000103,0.00657
"Nat8f2",-0.528,0.000105,0.00666
"Gab1",0.531,0.000105,0.00666
"Gm5617",-0.37,0.000106,0.00671
"Slco2a1",0.407,0.000107,0.00671
"Slc7a2",-0.517,0.000107,0.00671
"Acad9",-0.44,0.000107,0.00671
"Dynll1",-0.401,0.000108,0.00675
"Bcap29",-0.626,0.000108,0.00675
"Susd4",0.406,0.000108,0.00675
"Nqo2",-0.427,0.000111,0.00686
"Dhcr24",-0.604,0.000112,0.00692
"Stx1a",0.353,0.000113,0.00694
"Aldoa",0.472,0.000113,0.00694
"Tm7sf3",-0.575,0.000115,0.007
"Atl2",-0.56,0.000117,0.00713
"Nkg7",0.361,0.000118,0.00713
"Tenm3",-0.524,0.000118,0.00713
"Vwa8",-0.394,0.000118,0.00714
"Trp53inp2",0.499,0.000119,0.00717
"Zpr1",0.614,0.00012,0.00718
"Fez2",-0.405,0.00012,0.00718
"Gm5512///Rmnd1",-0.449,0.000121,0.00719
"Mal2",-0.413,0.000121,0.00719
"Gm20056///Chp1",0.538,0.000122,0.0072
"Idh3a",-0.699,0.000124,0.00733
"Inhbc",0.773,0.000125,0.00735
"Zwint",0.525,0.000125,0.00735
"Cryz",-0.569,0.000127,0.00741
"Ngfr",0.429,0.000127,0.00741
"Mrpl42",-0.404,0.000128,0.00743
"Fam73b",-0.614,0.000129,0.00745
"Sesn2",0.338,0.000129,0.00745
"Mogat1",-0.611,0.00013,0.00749
"Clec2d",0.418,0.000132,0.00757
"Ptdss2",-0.435,0.000133,0.00765
"Csnk1a1",-0.341,0.000136,0.00778
"Apol9a///Apol9b",-0.78,0.000143,0.00813
"Cast",-0.433,0.000144,0.00816
"Gm6644///Akr1b3",-0.642,0.000144,0.00816
"Ints5",0.372,0.000145,0.00816
"Rbbp4",0.328,0.000146,0.00822
"Snx17",0.475,0.000147,0.00823
"Ube2b",-0.414,0.000147,0.00823
"Ube2j2",0.34,0.000147,0.00823
"Mpzl2",-0.408,0.00015,0.00831
"Ccdc84",0.417,0.00015,0.00831
"Zfp639",0.306,0.000151,0.00831
"Abcc3",-0.57,0.000151,0.00831
"Sdf2l1",0.466,0.000151,0.00831
"Cdk18",-0.383,0.000151,0.00831
"Parp12",-0.849,0.000152,0.00831
"Lyve1",-0.873,0.000154,0.00842
"Dopey2",-0.663,0.000155,0.00843
"Tmem70",-0.43,0.000155,0.00845
"Zfyve26",-0.347,0.000156,0.00847
"Asb13",0.475,0.000157,0.00847
"Ost4",-0.348,0.000157,0.00847
"Ggct",-0.753,0.000157,0.00847
"AW112010",-0.693,0.000158,0.00847
"Idh3g",-0.36,0.000158,0.00849
"Cdv3",0.388,0.000159,0.0085
"Hsd17b6",1.4,0.000161,0.00858
"Tmem19",0.496,0.000163,0.00867
"Scaf11",0.285,0.000166,0.00878
"C1galt1c1",0.317,0.000167,0.00881
"Slc17a3",0.527,0.00017,0.00895
"Alcam",0.504,0.00017,0.00895
"Pecr",0.391,0.000171,0.00895
"Mettl20",0.759,0.000172,0.009
"Golt1a",-0.442,0.000173,0.00902
"Sptan1",-0.353,0.000173,0.00902
"Smpdl3a",-0.412,0.000174,0.00905
"Rad18",0.263,0.000175,0.00905
"Trub2",-0.522,0.000175,0.00905
"Aplp2",-0.437,0.000176,0.00906
"Rbp1",-1.02,0.000176,0.00907
"Hspe1",-0.463,0.00018,0.00921
"Cstb",-0.475,0.00018,0.00921
"Pigx",0.411,0.000184,0.00929
"Chpt1",-0.758,0.000184,0.00929
"Brd2",0.597,0.000184,0.00929
"Cdk8",0.347,0.000185,0.00929
"Chmp3",0.353,0.000187,0.00935
"Sdhaf4",-0.491,0.000187,0.00937
"Pebp1",-0.753,0.000189,0.00944
"Ciapin1",-0.348,0.00019,0.00944
"Med12",0.352,0.00019,0.00944
"Ctsl",-0.719,0.000193,0.00952
"Amd1",0.524,0.000196,0.00966
"Ube2v2",-0.73,0.000197,0.00966
"Ero1lb",0.58,0.000198,0.00966
"Axin1",0.338,0.000198,0.00966
"Myadm",-0.473,0.000198,0.00966
"Cmklr1",0.312,0.000199,0.00969
"Cyp2c54",-0.863,0.000203,0.00981
"2210016F16Rik",-0.346,0.000204,0.00985
"Clk3",0.339,0.000205,0.00986
"Orai1",0.425,0.000205,0.00986
"Alg2",-0.346,0.000208,0.00997
"Sgf29",0.559,0.000208,0.00997
"Pnn",-0.424,0.00021,0.01
"Prkd3",0.468,0.00021,0.01
"Poldip2",-0.349,0.000213,0.0101
"Lmbrd1",-0.424,0.000214,0.0102
"Got1",-0.934,0.000215,0.0102
"Klf9",0.331,0.000216,0.0102
"Tmem167",-0.294,0.000218,0.0103
"Gtse1",0.314,0.000219,0.0103
"Cyp2d22",-0.296,0.000221,0.0104
"Bhmt2",-0.688,0.000222,0.0104
"Gm13777///Rplp1",-0.305,0.000223,0.0104
"Set",0.258,0.000223,0.0104
"Zmym3",0.278,0.000224,0.0104
"Ctss",-0.657,0.000224,0.0104
"Chka",0.703,0.000225,0.0104
"Vasn",0.375,0.000227,0.0105
"Ptdss1",0.317,0.000228,0.0105
"Slc17a2",0.897,0.000229,0.0105
"Pmpcb",-0.459,0.000231,0.0105
"Asic5",0.47,0.000233,0.0106
"Proc",0.377,0.000233,0.0106
"Atp6v1e1",-0.323,0.000233,0.0106
"Ccdc80",-0.441,0.000233,0.0106
"Scd2",-0.66,0.000235,0.0106
"Gm15793///Gm32899///LOC102635048///Rpl12",-0.341,0.000236,0.0106
"Car8",0.522,0.000242,0.0108
"Adipor1",0.564,0.000244,0.0109
"Eno1",-0.259,0.000244,0.0109
"Clns1a",-0.37,0.000244,0.0109
"Dnajc3",0.54,0.000245,0.0109
"Cog6",-0.355,0.000246,0.0109
"Gng10",-0.382,0.000247,0.0109
"Scaf8",0.346,0.000247,0.0109
"Akap8l",0.418,0.000249,0.011
"Kcmf1",0.41,0.000249,0.011
"Smad4",0.35,0.00025,0.011
"Gbe1",-0.531,0.000251,0.011
"Plxna2",0.279,0.000251,0.011
"Fnbp4",0.542,0.000253,0.011
"Shisa5",-0.567,0.000253,0.011
"Dpp3",-0.366,0.000254,0.011
"Mbd1",0.396,0.000254,0.011
"Trim25",0.353,0.000256,0.0111
"Gfm1",-0.366,0.000257,0.0111
"Prdx4",0.408,0.000259,0.0111
"Eef1b2",-0.361,0.000259,0.0111
"Atp6v0e",-0.384,0.00026,0.0111
"Ptp4a2",0.325,0.00026,0.0111
"Tmem219",0.313,0.00026,0.0111
"Slc39a14",-0.499,0.000262,0.0111
"Hnrnpc",-0.377,0.000263,0.0112
"1700018F24Rik",0.387,0.000264,0.0112
"Ptprk",0.31,0.000265,0.0112
"Nr2f2",0.289,0.000269,0.0113
"Zdhhc4",-0.291,0.000269,0.0113
"BC029722",-0.288,0.000269,0.0113
"Actg1",-0.955,0.000269,0.0113
"Pctp",-0.843,0.000274,0.0114
"Sertad1",0.462,0.000276,0.0115
"Slc16a7",-0.674,0.000277,0.0115
"Hadh",-0.363,0.000282,0.0116
"Mbtps1",-0.399,0.000282,0.0116
"Aldh3a2",-0.503,0.000285,0.0117
"Golim4",-0.5,0.000285,0.0117
"Dlst",-0.461,0.000286,0.0117
"Psap",-0.316,0.000291,0.0119
"Tbrg1",-0.49,0.000291,0.0119
"Stat1",-0.364,0.000292,0.0119
"Nxt1",0.293,0.000296,0.012
"Acat1",-0.312,0.000296,0.012
"Cfb",0.36,0.000304,0.0123
"Zufsp",-0.311,0.000305,0.0123
"Prkrir",-0.404,0.000307,0.0124
"Slc9a3r2",0.363,0.000311,0.0125
"Pcnx",-0.393,0.000312,0.0125
"Sri",-0.452,0.000316,0.0126
"Gm8615///Gnpda1",-0.435,0.000317,0.0126
"Vcp",0.279,0.000318,0.0126
"Smim14",-0.25,0.000318,0.0126
"Gsta4",0.606,0.000319,0.0126
"Sugct",-0.734,0.000319,0.0126
"Xpo1",-0.347,0.00032,0.0126
"Adcy9",-0.468,0.00032,0.0126
"Slc25a10",-0.385,0.000321,0.0127
"Zfp148",0.308,0.000323,0.0127
"Cadm4",0.426,0.000328,0.0129
"Hs3st3b1",0.385,0.000329,0.0129
"Il3ra",-0.273,0.00033,0.0129
"Bloc1s6",-0.402,0.000335,0.013
"Cyp2c50",-0.723,0.000335,0.013
"Palld",0.453,0.000338,0.0131
"Psmd6",0.766,0.00034,0.0132
"Gadd45b",-0.866,0.00034,0.0132
"Rdh9",0.77,0.000348,0.0134
"Setd1a",0.289,0.000348,0.0134
"Sec63",-0.355,0.000351,0.0135
"Rap2b",0.291,0.000352,0.0135
"Pzp",0.4,0.000356,0.0137
"Tspan33",0.632,0.000358,0.0137
"Mdh2",-0.412,0.000358,0.0137
"Itpr3",0.368,0.000368,0.014
"Coa6",-0.639,0.000369,0.0141
"Sptbn1",-0.291,0.00037,0.0141
"Odc1",0.429,0.000371,0.0141
"Rrbp1",0.439,0.000376,0.0142
"Cyp2b9",-0.466,0.000376,0.0142
"Ly6d",-0.921,0.000378,0.0142
"Ubr4",0.321,0.00038,0.0143
"Zfp24",0.396,0.00038,0.0143
"S100pbp",0.349,0.000381,0.0143
"Sgk2",0.402,0.000381,0.0143
"Akr1d1",-1.17,0.000384,0.0144
"Cyp17a1",-1.47,0.000385,0.0144
"Ccdc117",0.522,0.000386,0.0144
"Ptpn12",0.456,0.000388,0.0144
"Smc3",0.311,0.000389,0.0145
"Coq7",-0.353,0.000396,0.0147
"Immp2l",-0.367,4e-04,0.0148
"Fhit",-0.484,0.000407,0.0151
"Eno1b///Eno1",-0.299,0.000409,0.0151
"Qk",-0.705,0.00041,0.0151
"Mtch2",-0.443,0.000413,0.0152
"Dnajc21",0.438,0.000413,0.0152
"Immt",-0.29,0.000414,0.0152
"Rnaseh2c",0.561,0.000416,0.0152
"Nrbf2",-0.367,0.000418,0.0152
"Ctsd",-0.241,0.000419,0.0152
"Tmem147",-0.3,0.000421,0.0153
"Sap30bp",0.342,0.000422,0.0153
"Pank1",-0.513,0.000423,0.0153
"Pgk1",-0.283,0.000424,0.0153
"Foxa1",0.682,0.000426,0.0153
"Hist1h1c",-1.11,0.000427,0.0153
"Mrpl16",-0.312,0.000428,0.0153
"Celf2",-0.552,0.000429,0.0153
"Gm12657///Gm6749///H3f3c///Gm10257///H3f3b///H3f3a",-0.514,0.000432,0.0154
"Tbrg4",-0.322,0.000435,0.0155
"Fbxo6",-0.367,0.000436,0.0155
"Ppp3cb",-0.391,0.000439,0.0156
"Rfxap",0.421,0.000441,0.0156
"Isca2",-0.297,0.000444,0.0157
"Prkcz",-0.311,0.000457,0.0161
"Klhl22",0.347,0.000458,0.0161
"Tubb2a",-1.13,0.000459,0.0162
"Ssr3",-0.286,0.000462,0.0162
"Sept2",-0.395,0.000466,0.0163
"Rdm1",0.294,0.000471,0.0165
"B3galnt2",0.348,0.000473,0.0165
"Srp14",-0.299,0.000477,0.0166
"Clptm1l",-0.276,0.000478,0.0166
"Nelfa",0.3,0.000478,0.0166
"Pik3r2",0.361,0.00048,0.0166
"Lasp1",-0.64,0.000481,0.0166
"Echdc3",-0.445,0.000483,0.0166
"Calm3///Calm2///Calm1",-0.478,0.000488,0.0168
"Cnot8",-0.435,0.000495,0.017
"Chmp5",-0.266,0.000497,0.017
"Ankrd13a",-0.328,0.000498,0.017
"Zfp574",0.313,0.000498,0.017
"Gm7664///4933434E20Rik",-0.337,0.000499,0.017
"Sorbs1",-0.648,0.000499,0.017
"Prosc",-0.349,0.000502,0.017
"Setd4",0.39,0.000507,0.0172
"Fggy",-0.527,0.000507,0.0172
"Arid3b",0.268,0.00051,0.0172
"Casp7",-0.537,0.00051,0.0172
"Tor1a",-0.365,0.000517,0.0174
"Plekhb1",0.439,0.000519,0.0174
"Tsc22d3",0.631,0.00052,0.0174
"Cnot3",0.424,0.000522,0.0175
"Eif4e2",-0.532,0.000522,0.0175
"Cyp7b1",1.13,0.000524,0.0175
"Usp47",0.261,0.000524,0.0175
"Rnf121",0.374,0.000527,0.0176
"Smarca4",-0.363,0.000531,0.0177
"Pura",0.415,0.000532,0.0177
"Aqp9",-0.493,0.000533,0.0177
"Zfp106",0.269,0.000534,0.0177
"Supt16",0.309,0.000538,0.0177
"Stt3b",-0.282,0.000538,0.0177
"Ddx39b",-0.427,0.000544,0.0179
"Ptprm",0.279,0.000546,0.0179
"Psme4",0.268,0.00055,0.018
"Tnfrsf12a",0.333,0.00055,0.018
"Crcp",-0.435,0.000555,0.0181
"Gcnt2",0.492,0.000555,0.0181
"Plac8",-0.389,0.000556,0.0181
"2810004N23Rik",-0.328,0.000558,0.0181
"Bhmt",-0.464,0.000565,0.0183
"Gusb",-0.483,0.000569,0.0184
"Fam151a",0.381,0.000571,0.0184
"Cyp3a13",-0.505,0.000571,0.0184
"Ing1",0.343,0.000572,0.0184
"LOC102641923///Srsf1",-0.363,0.000573,0.0184
"Adhfe1",-0.604,0.000574,0.0184
"Pold4",-0.343,0.000575,0.0185
"Fgd6",0.379,0.000579,0.0185
